Day 2- Position 60 15-47-01 v2-JT,01:02:47:06,.start,11
Day 2- Position 60 15-47-01 v2-JT,01:03:36:11,15.Kg7,11
Day 2- Position 60 15-47-01 v2-JT,01:03:38:23,15.h4,11
Day 2- Position 60 15-47-01 v2-JT,01:03:40:06,16.Kf6,11
Day 2- Position 60 15-47-01 v2-JT,01:03:54:17,16.Kb6,11
Day 2- Position 60 15-47-01 v2-JT,01:03:42:15,16.h3,11
Day 2- Position 60 15-47-01 v2-JT,01:03:48:13,17.Ke6,11
Day 2- Position 60 15-47-01 v2-JT,01:03:53:01,.reset,11
Day 2- Position 60 15-47-01 v2-JT,01:04:03:00,17.Ke5,11
Day 2- Position 60 15-47-01 v2-JT,01:04:14:11,17.h3,11
Day 2- Position 60 15-47-01 v2-JT,01:04:05:10,17.Kxc6,11
Day 2- Position 60 15-47-01 v2-JT,01:04:06:10,18.Kf4,11
Day 2- Position 60 15-47-01 v2-JT,01:04:14:00,.reset,11
Day 2- Position 60 15-47-01 v2-JT,01:04:16:00,18.Kd6,11
Day 2- Position 60 15-47-01 v2-JT,01:04:18:16,.end,11
Day 2- Position 61 15-49-03 v2-JT,01:04:57:19,.start,11
Day 2- Position 61 15-49-03 v2-JT,01:06:10:01,18.Kc8,11
Day 2- Position 61 15-49-03 v2-JT,01:05:11:18,18.c8=Q,11
Day 2- Position 61 15-49-03 v2-JT,01:05:13:09,18.Bf5+,11
Day 2- Position 61 15-49-03 v2-JT,01:05:15:19,19.Kc7,11
Day 2- Position 61 15-49-03 v2-JT,01:05:16:21,19.Bxc8,11
Day 2- Position 61 15-49-03 v2-JT,,20.Kxc8,11
Day 2- Position 61 15-49-03 v2-JT,,20.b5,11
Day 2- Position 61 15-49-03 v2-JT,01:05:23:23,.reset,11
Day 2- Position 61 15-49-03 v2-JT,01:05:30:12,18.Ke6,11
Day 2- Position 61 15-49-03 v2-JT,01:05:36:11,18.Ke4,11
Day 2- Position 61 15-49-03 v2-JT,01:05:40:03,.reset,11
Day 2- Position 61 15-49-03 v2-JT,01:05:41:14,18.Kd6,11
Day 2- Position 61 15-49-03 v2-JT,01:05:43:02,18.Bf5,11
Day 2- Position 61 15-49-03 v2-JT,01:05:47:00,19.Kc5,11
Day 2- Position 61 15-49-03 v2-JT,01:05:50:10,.reset,11
Day 2- Position 61 15-49-03 v2-JT,01:06:22:03,18.b5,11
Day 2- Position 61 15-49-03 v2-JT,01:06:23:09,19.Kd7,11
Day 2- Position 61 15-49-03 v2-JT,01:06:25:20,19.b4,11
Day 2- Position 61 15-49-03 v2-JT,01:06:27:00,20.Kd6,11
Day 2- Position 61 15-49-03 v2-JT,01:06:32:21,20.Bf5,11
Day 2- Position 61 15-49-03 v2-JT,01:06:35:18,21.Ke5,11
Day 2- Position 61 15-49-03 v2-JT,01:06:41:22,21.Bc8,11
Day 2- Position 61 15-49-03 v2-JT,01:06:42:20,22.Kd4,11
Day 2- Position 61 15-49-03 v2-JT,01:06:49:00,22.Ba6,11
Day 2- Position 61 15-49-03 v2-JT,01:06:51:10,23.c8=Q,11
Day 2- Position 61 15-49-03 v2-JT,01:06:53:12,23.Bxc8,11
Day 2- Position 61 15-49-03 v2-JT,01:06:55:01,24.Kc4,11
Day 2- Position 61 15-49-03 v2-JT,01:08:19:21,.end,11
Day 2- Position 62 15-53-06,01:08:56:14,.start,11
Day 2- Position 62 15-53-06,01:09:39:23,24.Ke6,11
Day 2- Position 62 15-53-06,01:09:12:23,24.Ke7,11
Day 2- Position 62 15-53-06,01:09:14:01,24.Kc3,11
Day 2- Position 62 15-53-06,01:09:15:03,25.Kd7,11
Day 2- Position 62 15-53-06,01:09:16:02,25.Kd4,11
Day 2- Position 62 15-53-06,01:09:17:06,26.Kc7,11
Day 2- Position 62 15-53-06,01:09:17:22,26.Kc5,11
Day 2- Position 62 15-53-06,01:09:18:15,27.Kb7,11
Day 2- Position 62 15-53-06,01:09:19:10,27.Kd6,11
Day 2- Position 62 15-53-06,01:09:20:06,28.Kxa7,11
Day 2- Position 62 15-53-06,01:09:21:11,28.Kc7,11
Day 2- Position 62 15-53-06,01:09:29:06,.reset,11
Day 2- Position 62 15-53-06,01:09:41:05,24.Kc3,11
Day 2- Position 62 15-53-06,01:09:42:13,25.Kd5,11
Day 2- Position 62 15-53-06,01:10:04:05,25.Kd3,11
Day 2- Position 62 15-53-06,01:10:05:10,26.Kc6,11
Day 2- Position 62 15-53-06,01:10:07:02,26.Kd4,11
Day 2- Position 62 15-53-06,01:10:07:18,27.Kb7,11
Day 2- Position 62 15-53-06,01:10:08:16,27.Kc5,11
Day 2- Position 62 15-53-06,01:10:09:19,28.Kxa7,11
Day 2- Position 62 15-53-06,01:10:11:06,28.Kc6,11
Day 2- Position 62 15-53-06,01:10:11:21,29.Kb8,11
Day 2- Position 62 15-53-06,01:10:16:12,.end,11
Day 2- Position 63 15-54-33 v2-JT,01:10:22:14,.start,11
Day 2- Position 63 15-54-33 v2-JT,01:11:04:10,29.Kd5,11
Day 2- Position 63 15-54-33 v2-JT,01:10:55:07,29.f5,11
Day 2- Position 63 15-54-33 v2-JT,01:10:56:09,30.Kb4,11
Day 2- Position 63 15-54-33 v2-JT,01:11:01:12,.reset,11
Day 2- Position 63 15-54-33 v2-JT,01:11:18:05,30.b4,11
Day 2- Position 63 15-54-33 v2-JT,01:11:10:21,30.Kb4,11
Day 2- Position 63 15-54-33 v2-JT,01:11:14:00,30.Kd4,11
Day 2- Position 63 15-54-33 v2-JT,01:11:16:22,.reset,11
Day 2- Position 63 15-54-33 v2-JT,01:11:19:05,30.f5,11
Day 2- Position 63 15-54-33 v2-JT,01:11:22:13,31.b5,11
Day 2- Position 63 15-54-33 v2-JT,01:11:23:16,31.f4,11
Day 2- Position 63 15-54-33 v2-JT,01:11:24:14,32.b6,11
Day 2- Position 63 15-54-33 v2-JT,01:11:26:20,32.Kc6,11
Day 2- Position 63 15-54-33 v2-JT,01:11:28:09,33.Ka6,11
Day 2- Position 63 15-54-33 v2-JT,01:11:29:19,33.f3,11
Day 2- Position 63 15-54-33 v2-JT,01:11:31:03,34.b7,11
Day 2- Position 63 15-54-33 v2-JT,01:11:32:10,34.f2,11
Day 2- Position 63 15-54-33 v2-JT,01:11:34:14,35.b8=Q,11
Day 2- Position 63 15-54-33 v2-JT,01:11:35:19,35.f1=Q+,11
Day 2- Position 63 15-54-33 v2-JT,01:11:49:21,36.Ka7,11
Day 2- Position 63 15-54-33 v2-JT,01:11:40:14,36.Ka5,11
Day 2- Position 63 15-54-33 v2-JT,01:11:43:00,36.Qa1+,11
Day 2- Position 63 15-54-33 v2-JT,01:11:44:17,37.Kb4,11
Day 2- Position 63 15-54-33 v2-JT,01:11:45:14,37.Qb2+,11
Day 2- Position 63 15-54-33 v2-JT,01:11:47:15,38.Ka5,11
Day 2- Position 63 15-54-33 v2-JT,01:11:48:18,38.Qxb8,11
Day 2- Position 63 15-54-33 v2-JT,01:11:48:21,.reset,11
Day 2- Position 63 15-54-33 v2-JT,01:11:51:14,36.Qa1#,11
Day 2- Position 63 15-54-33 v2-JT,01:12:17:16,.end,11
Day 2- Position 64 15-57-54,01:13:11:10,.start,11
Day 2- Position 64 15-57-54,01:13:15:11,39.Kg8,11
Day 2- Position 64 15-57-54,01:13:19:08,40.Kf6,11
Day 2- Position 64 15-57-54,01:13:20:06,40.Kf8,11
Day 2- Position 64 15-57-54,01:13:21:23,.end,11
Day 2- Position 65 15-58-23,01:13:29:03,.start,11
Day 2- Position 65 15-58-23,01:13:46:12,41.Kf2,11
Day 2- Position 65 15-58-23,01:13:54:16,41.h4,11
Day 2- Position 65 15-58-23,01:14:21:23,42.Kg1,11
Day 2- Position 65 15-58-23,01:14:03:04,42.Kf3,11
Day 2- Position 65 15-58-23,01:14:03:14,42.h3,11
Day 2- Position 65 15-58-23,01:14:10:08,43.g4,11
Day 2- Position 65 15-58-23,01:14:11:21,43.Kd7,11
Day 2- Position 65 15-58-23,01:14:12:16,44.Kg3,11
Day 2- Position 65 15-58-23,01:14:13:19,44.Ke7,11
Day 2- Position 65 15-58-23,01:14:14:18,45.Kxh3,11
Day 2- Position 65 15-58-23,01:14:15:05,45.Kf6,11
Day 2- Position 65 15-58-23,01:14:18:00,.reset,11
Day 2- Position 65 15-58-23,01:14:25:10,42.h3,11
Day 2- Position 65 15-58-23,01:14:26:08,43.g3,11
Day 2- Position 65 15-58-23,01:14:28:01,43.Kd7,11
Day 2- Position 65 15-58-23,01:14:28:22,44.Kh2,11
Day 2- Position 65 15-58-23,01:14:29:22,44.Ke6,11
Day 2- Position 65 15-58-23,01:14:30:16,45.Kxh3,11
Day 2- Position 65 15-58-23,01:14:31:21,45.Kf5,11
Day 2- Position 65 15-58-23,01:14:33:02,46.Kh4,11
Day 2- Position 65 15-58-23,01:14:34:10,46.Kg6,11
Day 2- Position 65 15-58-23,01:14:35:00,47.Kg4,11
Day 2- Position 65 15-58-23,01:14:40:13,.end,11
Day 2- Position 66 16-05-41,01:15:16:13,.start,11
Day 2- Position 66 16-05-41,01:15:44:12,.end,11
Day 2- Position 67 16-06-03,01:15:44:12,.start,11
Day 2- Position 67 16-06-03,01:15:57:07,47.Kc7,11
Day 2- Position 67 16-06-03,01:15:59:18,47.Ke5,11
Day 2- Position 67 16-06-03,01:16:00:10,48.Kc6,11
Day 2- Position 67 16-06-03,01:16:02:04,.end,11
Day 2- Position 68 16-06-15,01:16:02:05,.start,11
Day 2- Position 68 16-06-15,01:16:04:04,48.Ke4,11
Day 2- Position 68 16-06-15,01:16:08:11,49.Kc6,11
Day 2- Position 68 16-06-15,01:16:09:13,49.Ke5,11
Day 2- Position 68 16-06-15,01:16:11:06,.end,11
Day 2- Position 70 16-13-54 v2-JT,01:21:41:02,.start,11
Day 2- Position 70 16-13-54 v2-JT,01:22:14:16,1.b6,11
Day 2- Position 70 16-13-54 v2-JT,01:22:03:08,1.b6,11
